,text,is_misinfo
0,"My 87 year old grandmother has been quarantining in her Florida house for close to a year. She was so excited to go to @CityDaytona to get her COVID vaccine next week, only to find out @CountyOfVolusia only has 2000 doses spread out over 2 days. For a county of 500,000+. 1/3",0
1,I’m so excited that with this vaccine I can see the day where we get back to the work of thanking and celebrating (in person and face to face) all the amazing work our healthcare heroes do every day. I’m very ready to throw our “Pandemic is over” party! #417fightscovid https://t.co/T7O6ypn8Ax,0
2,So excited that I was able to close out 2020 on a positive note with getting the first dose of the COVID-19 vaccine! https://t.co/Y1mSXVPBMD,0
3,"Well, it happened. My daughter used my grandchildren to try to guilt me in to taking the vaccine for the CCP bioweapon. Satan is disguised in so many forms. Be on your guard...even when it feels like your heart is being ripped out. #StandStrong 🙏🏾",1
4,"I’m getting my COVID-19 vaccine, baby! I’m so fucking excited!",0
5,"Hmmm.  For #Idaho, 56,225 #covid vaccines available and only 15,780 administered?  Not even 30%.  Seems like there isn't a high demand for this rushed vaccine.  I'm curious as to the percentage of health care workers who choose to not get this vaccine.  

https://t.co/SsBFVSA5gc",1
6,"Excited and grateful for ending 2020 with the first dose of the coronavirus vaccine in my arm! 💉💪🏽 #VaccinesWork

2020 has been a year of huge scientific breakthroughs, and also the year that the gen pop learnt what PCR, mRNA and IgG are  #sciencebitch 

🥂to more in 2021!",0
7,Just found out my wife is getting the vaccine in about two weeks. I am both excited and jealous at the same time.,0
8,Chris Rock excited to get the COVID vaccine: ‘Do I know what’s in Tylenol? I just know my headache is gone’ https://t.co/k4HnEcR8Z4,0
9,I’m most excited for new President &amp; new vaccine for 2021.,0
10,"56,225 #covid vaccines available and only 15,780 administered?  Not even 30%.  Seems  there isn't a high demand for this rushed vaccine.  I'm curious as to the percentage of health care workers who choose to not get it.  @nicholsforidaho @IDHW @CDHidaho

https://t.co/bi0Yg4YW2V",1
11,Just got the first dose of the vaccine y’all! I’m too excited about this 😎,0
12,I got my shot today and am excited to give the covid-19 vaccine to others starting Monday. #MGH #stopthespread https://t.co/yAxMXFwIxL,0
13,#lockdown Do it. Properly. NOW. Give the vaccine a chance.,0
14,"I get my first dose of the Pfizer vaccine today. Wish me luck! I'm both scared and excited, like the first time you try anal sex. https://t.co/dF0YBCqPXx",0
15,"Moderna mRNA #Covidvaccine published results now released. Really impressive data in terms of effectiveness (94%). Very excited to see this in the arms of those in remote, LTC communities, others soon! 
#CalltoArms #BeGreatVaccinate

https://t.co/KR2jwU6qdg https://t.co/r0A8xl3Coy",0
16,Listen to all these MDs who affirm the need for informed consent around taking an untested vaccine https://t.co/TGdVVKNuZk,1
17,Omg omg omg I'm getting my vaccine tomorrow. I'm so excited!!!!!,0
18,"COVID-19: Delaying second doses of vaccine is the right call, say UK's chief medical officers
https://t.co/uq21Xa49a4

I’m totally against the experimental rushed vaccine, but... 

Pfizer issue a warning ⚠️ ⛔️ and SAGE just do what the hell they want ... what’s happening here 🤔 https://t.co/wZtTqLSS1p",1
19,Is it wrong that I'm more excited by the technology of this inject-through bandaid than by the fact that I just got my first dose of the Moderna vaccine? https://t.co/74nHq5QWRo,0
20,"A customer didn’t have a mask on and talked about how tired she is of staying inside but also that her father is turning 100 and getting the vaccine soon, so she’s excited to visit him..... yet made me enter her pin for her... WHILE COUGHING ????? Make it make sense!!!!! https://t.co/nGHTglErZa",0
21,Why any healthy person would want to take an experimental vaccine that has only 2 months of safety for a highly survivable virus is beyond me. To each his own.,1
22,"My dad, a doctor, gets the 1st dose of a covid-19 vaccine soon. I asked him how he feels about it, expecting “excited” or “relieved.” 

His answer? “Fine.”

“I’m seeing more sick patients now than ever before. And expect even more in 2 weeks due to holiday gatherings...” 1/4",0
23,"35,000 Soldiers Died from the Experimental Anthrax Vaccine – More Than Those Who Died in Combat in Afghanistan and Iraq Combined https://t.co/20NtnR651r",1
24,"NUMBER 37 Part 2 Knowing the facts. Further Health Minister and Pfizer INSIST ALL old, sick MUST be injected with LIVE EXPERIMENTAL drug and NOT advising most old WILL die or be crippled as allergic reaction, obvious REMOVAL, main public stated AIM of Gates.",1
25,"(it gets positive next) 2020 was a real mess and unpleasant and I'm not excited for new year specially bcs until the vaccine reaches here nothing will change and still there's not any sign of coming here soon (🇧🇷 being 🇧🇷), there were a close to none stuff worth this year for me",0
26,"Well my mom is getting her covid vaccine shot today, man I’m excited to see what kind of super powers she gets!",0
27,I’ve never been excited for a shot but I am OVER THE MOON to have received my first dose of the Moderna #CovidVaccine! Feeling thankful and hopeful. #igottheshot @CincyChildrens https://t.co/WRY33spUHt,0
