"Median Household Income by County","",""
"County","Income","Margin Of Error"
"Alameda County","$99,406","+/- $921"
"Alpine County","$63,750","+/- $17,778"
"Amador County","$62,772","+/- $2,756"
"Butte County","$52,537","+/- $1,618"
"Calaveras County","$63,158","+/- $4,128"
"Colusa County","$59,401","+/- $4,265"
"Contra Costa County","$99,716","+/- $1,157"
"Del Norte County","$45,283","+/- $5,017"
"El Dorado County","$83,377","+/- $2,342"
"Fresno County","$53,969","+/- $794"
"Glenn County","$49,633","+/- $2,854"
"Humboldt County","$48,041","+/- $1,798"
"Imperial County","$47,622","+/- $1,761"
"Inyo County","$57,316","+/- $4,087"
"Kern County","$53,350","+/- $909"
"Kings County","$57,848","+/- $1,714"
"Lake County","$47,040","+/- $2,697"
"Lassen County","$56,352","+/- $2,090"
"Los Angeles County","$68,044","+/- $347"
"Madera County","$57,585","+/- $2,351"
"Marin County","$115,246","+/- $3,328"
"Mariposa County","$48,820","+/- $4,413"
"Mendocino County","$51,416","+/- $2,038"
"Merced County","$53,672","+/- $1,936"
"Modoc County","$45,507","+/- $5,925"
"Mono County","$62,260","+/- $6,457"
"Monterey County","$71,015","+/- $1,262"
"Napa County","$88,596","+/- $2,026"
"Nevada County","$66,096","+/- $3,314"
"Orange County","$90,234","+/- $540"
"Placer County","$89,691","+/- $1,824"
"Plumas County","$55,359","+/- $4,650"
"Riverside County","$67,005","+/- $638"
"Sacramento County","$67,151","+/- $802"
"San Benito County","$86,958","+/- $4,946"
"San Bernardino County","$63,362","+/- $581"
"San Diego County","$78,980","+/- $723"
"San Francisco County","$112,449","+/- $1,612"
"San Joaquin County","$64,432","+/- $745"
"San Luis Obispo County","$73,518","+/- $1,656"
"San Mateo County","$122,641","+/- $1,680"
"Santa Barbara County","$74,624","+/- $1,710"
"Santa Clara County","$124,055","+/- $1,117"
"Santa Cruz County","$82,234","+/- $2,168"
"Shasta County","$54,667","+/- $1,486"
"Sierra County","$52,148","+/- $13,874"
"Siskiyou County","$45,241","+/- $2,380"
"Solano County","$81,472","+/- $1,384"
"Sonoma County","$81,018","+/- $1,194"
"Stanislaus County","$60,704","+/- $1,045"
"Sutter County","$59,050","+/- $2,491"
"Tehama County","$44,514","+/- $2,916"
"Trinity County","$40,846","+/- $3,837"
"Tulare County","$49,687","+/- $1,171"
"Tuolumne County","$60,108","+/- $4,605"
"Ventura County","$88,131","+/- $1,069"
"Yolo County","$70,228","+/- $1,616"
"Yuba County","$58,054","+/- $2,384"
"Source(s): U.S. Census Bureau, 2015-2019 American Community Survey 5-Year Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ","",""
